UML ID;Group Name;Parent Company;Mill Name;RSPO Status;RSPO type;Date RSPO Certification Status;Latitude;Longitude;GPS coordinates;ISO;Country;Province;District;Confidence level;Alternative name
PO1000003927;GOODHOPE;AGRO WANA LESTARI;BUKIT SANTUAI;RSPO Certified;RSPO Certified, MB;13/01/2026;-18.625;112.395.833;-1.8625, 112.395833;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000003928;TH PLANTATIONS BERHAD;THP SABACO SDN BHD;LADANG MAMAHAT;Not RSPO Certified;;13/01/2026;6.466.095;117.568.819;6.466095, 117.568819;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000003929;TH PLANTATIONS BERHAD;THP SABACO SDN BHD;SUNGAI TENEGANG;Not RSPO Certified;;13/01/2026;5.218.094;118.031.364;5.218094, 118.031364;MYS;Malaysia;Sabah;Kinabatangan;1-Fully Verified;
PO1000003931;TIAN SIANG HOLDINGS SDN BHD;TIAN SIANG OILL MILL (PERAK) SDN BHD;TIAN SIANG PERAK;Not RSPO Certified;;13/01/2026;4.592.983;100.732.286;4.592983, 100.732286;MYS;Malaysia;Perak;Larut Matang;1-Fully Verified;
PO1000003932;GLENEALY PLANTATIONS SDN BHD;TIMOR ENTERPRISE SDN BHD;TIMORA;Not RSPO Certified;;13/01/2026;5.304.724;118.340.076;5.304724, 118.340076;MYS;Malaysia;Sabah;Kinabatangan;1-Fully Verified;
PO1000003933;HOK HUAT GROUP SDN BHD;TOPAZ EMAS SDN BHD;TOPAZ EMAS;Not RSPO Certified;;13/01/2026;4.553.367;100.725.591;4.553367, 100.725591;MYS;Malaysia;Perak;Larut and Matang;1-Fully Verified;
PO1000003935;TRADEWINDS PLANTATION BERHAD;ARAH BERSAMA SDN BHD;KUALA SUAI;Not RSPO Certified;;13/01/2026;367.658;113.464.469;3.67658, 113.464469;MYS;Malaysia;Sarawak;Bintulu;1-Fully Verified;
PO1000003936;TRADEWINDS PLANTATION BERHAD;BINU PLANTATION SDN BHD;BINU;Not RSPO Certified;;13/01/2026;3.941.725;114.026.536;3.941725, 114.026536;MYS;Malaysia;Sarawak;Marudi;1-Fully Verified;
PO1000003937;TRADEWINDS PLANTATION BERHAD;KUMPULAN KRIS JATI SDN BHD;TRUSAN;Not RSPO Certified;;13/01/2026;482.863;115.265.071;4.82863, 115.265071;MYS;Malaysia;Sarawak;Lawas;1-Fully Verified;
PO1000003938;TRADEWINDS PLANTATION BERHAD;LADANG PERMAI SDN BHD;BATU PUTIH;Not RSPO Certified;;13/01/2026;5.58;117.946;5.58, 117.946;MYS;Malaysia;Sabah;Sandakan;1-Fully Verified;
PO1000003939;TRADEWINDS PLANTATION BERHAD;LADANG PERMAI SDN BHD;PERMAI;Not RSPO Certified;;13/01/2026;5.187.332;118.440.289;5.187332, 118.440289;MYS;Malaysia;Sabah;Lahad Datu;1-Fully Verified;
PO1000003941;TRADEWINDS PLANTATION BERHAD;LADANG SERASA SDN BHD;SERASA;Not RSPO Certified;;13/01/2026;5.099.504;102.175.826;5.099504, 102.175826;MYS;Malaysia;Kelantan;Gua Musang;1-Fully Verified;
PO1000003942;TRADEWINDS PLANTATION BERHAD;MELUR GEMILANG SDN BHD;MELUR GEMILANG;Not RSPO Certified;;13/01/2026;1.209.702;110.813.955;1.209702, 110.813955;MYS;Malaysia;Sarawak;Simunjan;1-Fully Verified;
PO1000003943;TRADEWINDS PLANTATION BERHAD;RETUS PLANTATION SDN BHD;RETUS;Not RSPO Certified;;13/01/2026;2.465.577;111.931.263;2.465577, 111.931263;MYS;Malaysia;Sarawak;Sibu;1-Fully Verified;
PO1000003944;TRADEWINDS PLANTATION BERHAD;SOLAR GREEN SDN BHD;JUDAN;Not RSPO Certified;;13/01/2026;2.776;112.026;2.776, 112.026;MYS;Malaysia;Sarawak;Dalat;2-High Confidence;
PO1000003945;TRADEWINDS PLANTATION BERHAD;LADANG PETRI TENGGARA SDN BHD;SUNGAI KACHUR;Not RSPO Certified;;13/01/2026;1.783.328;103.762.661;1.783328, 103.762661;MYS;Malaysia;Johor;Kota Tinggi;1-Fully Verified;
PO1000003947;TUNG HUP ENTERPRISE SDN BHD;TUNG HUP PALM OIL MILL SDN BHD;TUNG HUP;Not RSPO Certified;;13/01/2026;5.282.445;11.786.801;5.282445, 117.86801;MYS;Malaysia;Sabah;Kinabatangan;1-Fully Verified;
PO1000003948;UNIQUE PALM OIL MILL SDN BHD;UNIQUE PALM OIL MILL SDN BHD;UNIQUE;Not RSPO Certified;;13/01/2026;2.781.783;112.290.967;2.781783, 112.290967;MYS;Malaysia;Sarawak;Mukah;2-High Confidence;
PO1000003949;UNITED MALACCA BHD (UMB);MERIDIAN PLANTATIONS SDN BHD;MERIDIAN;Not RSPO Certified;;13/01/2026;645.475;117.431.184;6.45475, 117.431184;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000003950;UNITED MALACCA BHD (UMB);SYARIKAT PENANAMAN BUKIT SENORANG SDN BHD;BUKIT SENORANG;Not RSPO Certified;;13/01/2026;309.746;10.242.668;3.09746, 102.42668;MYS;Malaysia;Pahang;Bera;1-Fully Verified;
PO1000003951;UNITED OIL PALM INDUSTRIES SDN BHD;UNITED OIL PALM INDUSTRIES SDN BHD;UNITED OIL PALM;RSPO Certified;RSPO Certified, IP;13/01/2026;5.154.837;100.507.765;5.154837, 100.507765;MYS;Malaysia;Pulau Pinang;Seberang Perai Selatan;1-Fully Verified;
PO1000003952;VEE SENG DEVELOPMENT SDN BHD;VEETAR PALM OIL MILL SDN BHD;VEETAR;Not RSPO Certified;;13/01/2026;5.336.397;116.942.543;5.336397, 116.942543;MYS;Malaysia;Sabah;Tongod;1-Fully Verified;
PO1000003953;VICTORY ENGHOE PLANTATIONS SDN BHD;VICTORY ENGHOE PLANTATIONS SDN BHD;SOUTHERN MALAY;Not RSPO Certified;;13/01/2026;1.791.003;103.362.557;1.791003, 103.362557;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000003954;VILA SUTERA SDN BHD;VILA SUTERA SDN BHD;BUKIT KAPAH;Not RSPO Certified;;13/01/2026;5.109.417;102.897;5.109417, 102.897;MYS;Malaysia;Trengganu;Hulu Terengganu;1-Fully Verified;
PO1000003956;WINSOME HARVEST PALM OIL MILL SDN BHD;WINSOME HARVEST PALM OIL MILL SDN BHD;WINSOME HARVEST;Not RSPO Certified;;13/01/2026;4.553.317;118.358.978;4.553317, 118.358978;MYS;Malaysia;Sabah;Semporna;1-Fully Verified;
PO1000003957;WOODMAN SDN BHD;WOODMAN KUALA BARAM ESTATES SDN BHD;ADONG;Not RSPO Certified;;13/01/2026;4.541.035;114.119.098;4.541035, 114.119098;MYS;Malaysia;Sarawak;Miri;1-Fully Verified;
PO1000003958;WOODMAN SDN BHD;WOODMAN KUALA BARAM ESTATES SDN BHD;SEMANOK;Not RSPO Certified;;13/01/2026;3.005.242;112.898.545;3.005242, 112.898545;MYS;Malaysia;Sarawak;Tatau;1-Fully Verified;
PO1000003959;WOODMAN SDN BHD;WOODMAN KUALA BARAM ESTATES SDN BHD;USAHA SEPADAN;Not RSPO Certified;;13/01/2026;3.342.182;113.188.112;3.342182, 113.188112;MYS;Malaysia;Sarawak;Bintulu;1-Fully Verified;
