company,mill_name,group_name,parent_company,country,latitude,longitude,rspo_status
klk,PALOH KKS,KUALA LUMPUR KEPONG (KLK),KUALA LUMPUR KEPONG BHD,Malaysia,2.211246,103.213124,Not RSPO Certified
klk,PADANG BRAHRANG,KUALA LUMPUR KEPONG (KLK),LANGKAT NUSANTARA KEPONG,Indonesia,3.5606,98.390547,Not RSPO Certified
klk,BERAU,KUALA LUMPUR KEPONG (KLK),HUTAN HIJAU MAS,Indonesia,2.2114,117.165867,RSPO Certified
klk,PARIT SEMBADA,KUALA LUMPUR KEPONG (KLK),PARIT SEMBADA,Indonesia,-2.739621,108.001782,RSPO Certified
klk,JABON,KUALA LUMPUR KEPONG (KLK),JABONTARA EKA KARSA,Indonesia,1.243126,118.338642,RSPO Certified
klk,STABAT,KUALA LUMPUR KEPONG (KLK),LANGKAT NUSANTARA KEPONG,Indonesia,3.759722,98.393056,RSPO Certified
klk,KARYA MAKMUR ABADI,KUALA LUMPUR KEPONG (KLK),KARYA MAKMUR ABADI,Indonesia,-2.0422611,112.4899694,RSPO Certified
klk,SATU SEMBILAN DELAPAN,KUALA LUMPUR KEPONG (KLK),SATU SEMBILAN DELAPAN,Indonesia,2.14256,117.298381,RSPO Certified
klk,MULIA AGRO PERMAI,KUALA LUMPUR KEPONG (KLK),MULIA AGRO PERMAI,Indonesia,-2.43264,112.75315,RSPO Certified
klk,TANJUNG KELILING PALM OIL MILL,KUALA LUMPUR KEPONG (KLK),PT LANGKAT NUSANTARA KEPONG,Indonesia,3.511241,98.305888,RSPO Certified
klk,MILL 1,KUALA LUMPUR KEPONG (KLK),KL-KEPONG (SABAH) SDN BHD,Malaysia,4.4558944,118.222306,Not RSPO Certified
klk,PT KARYA MAKMUR ABADI,KUALA LUMPUR KEPONG (KLK),KUALA LUMPUR KEPONG BHD,Indonesia,-1.95718,111.49822,RSPO Certified
klk,PUTRA BONGAN JAYA,UNKNOWN,KUALA LUMPUR KEPONG BHD,Indonesia,-0.66961,116.331786,RSPO Certified
