company,claim
sdguthrie,"By December 2024, we had completed
used water used 1,600 housing units, achieving 25% of our total target of
Our refineries in both water-stressed and low-risk water stress Social Dialogue 6,890 units by 2032."
sdguthrie,"areas are also actively implementing water efficiency measures The WFA is a valuable tool for developing water sustainability Setting new industry standards, SD Guthrie’s Social
that align with SD Guthrie International’s programme on circularity."
sdguthrie,"We aim to realise a 20% increase in
(OHD) certification."
sdguthrie,"our Group Digital and Upstream Malaysia Water Management fertiliser use efficiency (FUE) by 2040, decreasing our reliance
teams have developed a digital water level monitoring on inorganic fertilisers and addressing the use of chemicals that
dashboard."
sdguthrie,"As part of our commitment issues related to land tenure and Malaysian Sustainable Palm
to responsible sourcing, we have achieved 100% traceability of Oil (MSPO) certification."
sdguthrie,"Community Rights and Development Efforts
“ This programme improved my
In line with our “Beyond Zero” commitment, we empower
smallholders by integrating them into sustainable supply understanding of plantation
Undertaking robust free, prior, and chains."
sdguthrie,"smallholders, equipping them with the tools, knowledge, and
resources to thrive in a resilient and ethical palm oil industry."
sdguthrie,"Additionally, initiatives like the
Mama Loosefruit Scheme focus on empowering women Total CSR spend (FY2024)
smallholders, promoting gender equality, and sustainability
RM55.4 million
leadership within their communities."
sdguthrie,"NBPOL also supported
Indonesia’s palm oil industry."
sdguthrie,"MOVING FORWARD
Indonesia
Programme Number of Number of Hectares/FFB Community Support SD Guthrie aims to improve the livelihoods of 50,000
schemes smallholders produced smallholders by 2035 under our “Beyond Zero” Framework."
sdguthrie,"By prioritising customer privacy, data protection, and anti-corruption, we uphold the
highest standards of integrity, ensuring responsible and sustainable business operations."
sdguthrie,upholding the highest ethical standards across our operations.
sdguthrie,"We will
also continue to strengthen anti-corruption efforts and uphold transparency across our operations."
