company,mill_name,lat,lon,spearman_rho,spearman_p,precision,recall,iou,n_tiles
sdguthrie,DERAWAN (SOU 33),3.390203,113.345417,0.377,0.0,0.237,0.435,0.181,1681
sdguthrie,ULU REMIS (SOU 23),1.834444,103.4625,0.2,0.0,0.1,0.341,0.084,1681
sdguthrie,"RANTAU PANJANG POM, PT GPI",-2.916183,103.750833,0.069,0.00494,0.122,0.248,0.089,1681
sdguthrie,KEMPAS (SOU 17),2.243522,102.481386,0.132,0.0,0.187,0.394,0.146,1681
sdguthrie,PAGOH (SOU 19),2.077424,102.718519,0.121,0.0,0.089,0.314,0.075,1681
sdguthrie,SEPANG (SOU 09A),2.678486,101.731956,0.152,0.0,0.064,0.358,0.058,1681
sdguthrie,MOSTYN (SOU 30B),4.666954,118.203458,0.439,0.0,0.259,0.377,0.182,1681
sdguthrie,ERAP / MARKHAM FAMRING ,-6.58087,146.64222,-0.059,0.01487,0.016,0.17,0.014,1681
sdguthrie,TAMIANG POM,4.30555,98.0267,0.132,0.0,0.12,0.259,0.09,1681
musimmas,BATANG KULIM,0.077043,102.030838,0.018,0.45754,0.187,0.267,0.124,1681
musimmas,AGROWIRATAMA,0.198958,99.626589,0.087,0.00033,0.121,0.308,0.095,1681
musimmas,SUKAJADI SAWIT MEKAR 1,-2.381111,112.539722,0.324,0.0,0.047,0.292,0.042,1681
musimmas,SUKAJADI SAWIT MEKAR 2,-2.37025,112.6026111,0.315,0.0,0.049,0.316,0.045,1681
musimmas,MAJU ANEKA SAWIT,-2.478167,112.647611,0.349,0.0,0.046,0.319,0.042,1681
musimmas,BERKAT SAWIT SEJATI,-2.3192778,103.7116389,0.19,0.0,0.174,0.327,0.128,1681
musimmas,UNGGUL LESTARI,-1.5958444,112.598831,0.272,0.0,0.102,0.282,0.081,1681
musimmas,SIRINGO RINGO,2.1,99.77,0.018,0.46182,0.131,0.235,0.092,1681
musimmas,GUNTUNG IDAMAN NUSA 1,0.16161,103.289583,0.147,0.0,0.068,0.285,0.058,1681
musimmas,BAHANA NUSA INTERINDO,1.69686,100.701833,0.16,0.0,0.124,0.432,0.107,1681
musimmas,GUNTUNG IDAMAN NUSA 2,0.0530444,103.20761,0.143,0.0,0.059,0.173,0.046,1681
musimmas,MULTI PERSADA GATRA MEGAH,-0.770833,114.741222,-0.061,0.0129,0.029,0.156,0.025,1681
musimmas,SINAR AGRO RAYA,0.419917,101.756389,0.154,0.0,0.088,0.224,0.067,1681
musimmas,INDOMAKMUR SAWIT BERJAYA,0.93491,100.351975,0.278,0.0,0.165,0.272,0.115,1681
musimmas,SARANA ESA CITA,1.358028,109.383631,0.137,0.0,0.085,0.309,0.071,1681
musimmas,GLOBALINDO ALAM PERKASA PALM OIL MILL,-2.667978,112.772158,0.191,0.0,0.039,0.25,0.035,1681
musimmas,PT. LESTARI ABADI PERKASA,-1.7241,110.6734,0.202,0.0,0.15,0.34,0.116,1681
musimmas,AGRO PALINDO SAKTI,-2.711058889,104.3430056,0.191,0.0,0.118,0.35,0.096,1681
ioi,PAMOL SABAH,6.002431,117.398389,0.188,0.0,0.084,0.376,0.074,1681
ioi,GOMALI,2.611826,102.678656,0.192,0.0,0.1,0.293,0.081,1681
ioi,PAMOL KLUANG,2.110445,103.392307,0.191,0.0,0.069,0.36,0.062,1681
ioi,SAKILAN,5.839281,117.8437,0.254,0.0,0.172,0.333,0.128,1681
ioi,BATURONG,4.7553,118.0886,0.119,0.0,0.115,0.229,0.083,1681
ioi,BUKIT LEELAU,3.30273,103.137889,0.348,0.0,0.323,0.505,0.245,1681
ioi,MAYVIN,5.5553,117.226439,0.125,0.0,0.076,0.236,0.061,1681
ioi,PUKIN,2.72235,102.911,0.116,0.0,0.026,0.322,0.025,1681
ioi,SYARIMO,5.334037,117.781334,0.043,0.07645,0.273,0.2,0.131,1681
ioi,LADANG SABAH,5.729989,117.57775,0.192,0.0,0.24,0.306,0.156,1681
ioi,LEEPANG,5.549056,118.437595,0.149,0.0,0.268,0.261,0.152,1681
ioi,MORISEM,5.493525,118.370047,0.207,0.0,0.301,0.287,0.172,1681
ioi,UNICO,5.150056,118.222056,-0.003,0.90647,0.138,0.233,0.095,1681
ioi,UNICO DESA,5.4130889,118.529333,0.38,0.0,0.313,0.397,0.212,1681
ioi,SUKSES KARYA SAWIT,-2.801034,110.59375,0.234,0.0,0.112,0.519,0.102,1681
klk,KEKAYAAN PALM OIL MILL,2.204546,103.270394,0.337,0.0,0.176,0.399,0.139,1681
klk,BORNION,5.609,117.7899,0.095,0.0001,0.219,0.259,0.134,1681
klk,RIMMER,5.0193,118.5715,0.312,0.0,0.224,0.294,0.146,1681
klk,LUNGMANIS,5.08395,118.58825,0.283,0.0,0.209,0.297,0.14,1681
klk,JERAM PADANG,2.735111,102.4085,0.171,0.0,0.078,0.253,0.063,1681
klk,MANDAU,1.081944,101.333361,0.065,0.00797,0.052,0.317,0.047,1681
klk,PINANG,4.450414,118.278194,0.274,0.0,0.138,0.357,0.111,1681
klk,MILL 2,4.4550861,118.223825,0.34,0.0,0.134,0.342,0.107,1681
klk,TAPUNG KANAN,0.757222,101.219722,0.193,0.0,0.13,0.571,0.119,1681
klk,TANJONG MALIM,3.695,101.485667,0.164,0.0,0.065,0.223,0.053,1681
klk,BATU LINTANG,5.193591,100.62843,0.174,0.0,0.102,0.265,0.079,1681
klk,TUAN MEE,3.265156,101.463279,0.126,0.0,0.087,0.309,0.073,1681
klk,CHANGKAT CHERMIN,4.27527,100.78498,0.143,0.0,0.139,0.365,0.112,1681
klk,NILO 1,0.3480556,101.971667,-0.078,0.0014,0.077,0.274,0.064,1681
klk,NILO 2,0.3525,102.094722,-0.117,0.0,0.06,0.224,0.05,1681
klk,KUALA PERTANG,5.623056,102.238056,0.309,0.0,0.107,0.29,0.085,1681
klk,STEELINDO WAHANA PERKASA,-2.723503,108.062656,0.029,0.23307,0.115,0.271,0.088,1681
klk,PALOH KKS,2.211246,103.213124,0.344,0.0,0.225,0.405,0.169,1681
klk,PADANG BRAHRANG,3.5606,98.390547,0.011,0.65025,0.041,0.285,0.037,1681
klk,BERAU,2.2114,117.165867,0.401,0.0,0.173,0.296,0.122,1681
klk,PARIT SEMBADA,-2.739621,108.001782,0.01,0.69103,0.069,0.282,0.059,1681
klk,JABON,1.243126,118.338642,0.251,0.0,0.207,0.589,0.181,1681
klk,STABAT,3.759722,98.393056,0.161,0.0,0.083,0.39,0.074,1681
klk,KARYA MAKMUR ABADI,-2.0422611,112.4899694,0.283,0.0,0.057,0.296,0.05,1681
klk,SATU SEMBILAN DELAPAN,2.14256,117.298381,0.339,0.0,0.159,0.365,0.124,1681
klk,MULIA AGRO PERMAI,-2.43264,112.75315,0.249,0.0,0.033,0.332,0.031,1681
klk,TANJUNG KELILING PALM OIL MILL,3.511241,98.305888,0.131,0.0,0.064,0.368,0.057,1681
klk,MILL 1,4.4558944,118.222306,0.356,0.0,0.132,0.338,0.105,1681
klk,PT KARYA MAKMUR ABADI,-1.95718,111.49822,0.153,0.0,0.151,0.304,0.112,1681
klk,PUTRA BONGAN JAYA,-0.66961,116.331786,0.138,0.0,0.058,0.213,0.048,1681
bumitama,PUNDU NABATINDO,-1.993167,113.060706,0.128,0.0,0.105,0.262,0.081,1681
bumitama,GUNUNG MAKMUR,-1.761271,112.597416,0.277,0.0,0.145,0.251,0.101,1681
bumitama,KENDAWANGAN,-2.445833,110.265833,0.147,0.0,0.063,0.324,0.055,1681
bumitama,KOTAWARINGIN,-2.391111,111.373333,0.341,0.0,0.083,0.347,0.072,1681
bumitama,BUKIT TUNGGAL JAYA,-1.546404,110.344014,0.14,0.0,0.037,0.215,0.033,1681
bumitama,SUKADAMAI,0.68325,100.529233,0.377,0.0,0.108,0.48,0.096,1681
bumitama,PEMBANGUNAN RAYA,-2.546278,110.384971,0.024,0.32677,0.007,0.345,0.007,1681
bumitama,KATARI AGRO,-2.091944,113.033333,0.255,0.0,0.107,0.366,0.091,1681
bumitama,BUKIT MAKMUR,-1.567778,112.72111,0.191,0.0,0.064,0.348,0.057,1681
bumitama,SUNGAI RASAU,-2.283611,110.503333,0.181,0.0,0.031,0.333,0.029,1681
bumitama,LAMANDAU,-2.505465,111.360135,0.238,0.0,0.097,0.315,0.08,1681
bumitama,SUNGAI CEMPAGA,-1.798,112.98541,0.408,0.0,0.129,0.492,0.114,1681
bumitama,BUKIT BELABAN JAYA,-1.7511,110.491483,0.094,0.00011,0.084,0.221,0.065,1681
bumitama,TONAM RAYA,-2.42877,111.29818,0.217,0.0,0.087,0.353,0.075,1681
astraagro,AGRO NUSA ABADI,-2.129894,121.484959,0.329,0.0,0.18,0.552,0.157,1681
astraagro,BORNEO INDAH MARJAYA,-2.033198,116.401023,0.129,0.0,0.051,0.317,0.046,1681
astraagro,LETAWA,-1.332133,119.42824,0.256,0.0,0.16,0.289,0.115,1681
astraagro,PASANGKAYU,-1.222355,119.472451,0.37,0.0,0.213,0.417,0.164,1681
astraagro,SURYARAYA LESTARI 2,-2.1151333,119.2570917,0.206,0.0,0.057,0.304,0.05,1681
astraagro,GUNUNG SEJAHTERA DUA INDAH,-2.30085,111.837333,0.229,0.0,0.072,0.206,0.056,1681
astraagro,PERKEBUNAN LEMBAH BHAKTI 1,2.314164,97.995719,0.239,0.0,0.111,0.414,0.096,1681
astraagro,GUNUNG SEJAHTERA PUTI PESONA,-2.366254,111.955128,0.3,0.0,0.183,0.409,0.144,1681
astraagro,GUNUNG SEJAHTERA IBU PERTIWI,-2.38,111.79,0.234,0.0,0.144,0.277,0.105,1681
